type,brom_ref,group,name,version,license-id
library,@babel/helper-skip-transparent-expression-wrappers@7.22.5,@babel,helper-skip-transparent-expression-wrappers,7.22.5,MIT
library,@babel/helper-skip-transparent-expression-wrappers@7.24.7,@babel,helper-skip-transparent-expression-wrappers,7.24.7,MIT
library,@babel/helper-split-export-declaration@7.22.6,@babel,helper-split-export-declaration,7.22.6,MIT
library,@babel/helper-split-export-declaration@7.24.6,@babel,helper-split-export-declaration,7.24.6,MIT
library,@babel/helper-split-export-declaration@7.24.7,@babel,helper-split-export-declaration,7.24.7,MIT
library,@babel/helper-string-parser@7.22.5,@babel,helper-string-parser,7.22.5,MIT
library,@babel/helper-string-parser@7.23.4,@babel,helper-string-parser,7.23.4,MIT
library,@babel/helper-string-parser@7.24.1,@babel,helper-string-parser,7.24.1,MIT
library,@babel/helper-string-parser@7.24.6,@babel,helper-string-parser,7.24.6,MIT
library,@babel/helper-string-parser@7.24.7,@babel,helper-string-parser,7.24.7,MIT
library,@babel/helper-string-parser@7.24.8,@babel,helper-string-parser,7.24.8,MIT
library,@babel/helper-validator-identifier@7.22.20,@babel,helper-validator-identifier,7.22.20,MIT
library,@babel/helper-validator-identifier@7.24.6,@babel,helper-validator-identifier,7.24.6,MIT
library,@babel/helper-validator-identifier@7.24.7,@babel,helper-validator-identifier,7.24.7,MIT
library,@babel/helper-validator-option@7.14.5,@babel,helper-validator-option,7.14.5,MIT
library,@babel/helper-validator-option@7.18.6,@babel,helper-validator-option,7.18.6,MIT
library,@babel/helper-validator-option@7.22.15,@babel,helper-validator-option,7.22.15,MIT
library,@babel/helper-validator-option@7.22.5,@babel,helper-validator-option,7.22.5,MIT
library,@babel/helper-validator-option@7.23.5,@babel,helper-validator-option,7.23.5,MIT
library,@babel/helper-validator-option@7.24.6,@babel,helper-validator-option,7.24.6,MIT
library,@babel/helper-validator-option@7.24.7,@babel,helper-validator-option,7.24.7,MIT
library,@babel/helper-validator-option@7.24.8,@babel,helper-validator-option,7.24.8,MIT
library,@babel/helper-wrap-function@7.22.20,@babel,helper-wrap-function,7.22.20,MIT
library,@babel/helper-wrap-function@7.24.7,@babel,helper-wrap-function,7.24.7,MIT
library,@babel/helpers@7.10.1,@babel,helpers,7.10.1,MIT
library,@babel/helpers@7.14.6,@babel,helpers,7.14.6,MIT
library,@babel/helpers@7.18.6,@babel,helpers,7.18.6,MIT
library,@babel/helpers@7.18.9,@babel,helpers,7.18.9,MIT
library,@babel/helpers@7.19.0,@babel,helpers,7.19.0,MIT
library,@babel/helpers@7.22.11,@babel,helpers,7.22.11,MIT
library,@babel/helpers@7.23.1,@babel,helpers,7.23.1,MIT
library,@babel/helpers@7.23.2,@babel,helpers,7.23.2,MIT
