dependency,version,services
,7.19.1,platform-shared-lib
,7.22.20,documentation
,,ml-testing-toolkit-shared-lib
,,mojaloop-simulator
,7.22.5,security-rbac-tests
,7.22.9,central-services-metrics
,,ml-number
,,platform-shared-tools
,,transaction-requests-service
,7.23.2,auditing-bc
,,merchant-registry-svc
,7.23.5,beneficiary-management-system-svc
,,logging-bc
,,mifos-core-connector
,,payment-token-adapter
,,role-assignment-service
,,security-role-perm-operator-svc
,7.24.1,ml-testing-toolkit-ui
,7.24.4,reporting-bc
,,reporting-events-processor-svc
,,sdk-standard-components
,7.24.6,account-lookup-bc
,,typescript-svc-template
,7.24.7,account-lookup-service
,,accounts-and-balances-bc
,,beneficiary-registration-portal-frontend
,,bulk-api-adapter
,,central-ledger
,,central-services-shared
,,database-lib
,,event-sdk
,,event-sidecar
,,ml-testing-toolkit
,,participants-bc
,,platform-configuration-bc
,,quoting-bc
,,thirdparty-api-svc
,7.24.9,central-services-logger
,,interop-apis-bc
,,settlements-bc
,,transfers-bc
,7.25.2,typescript-bc-template
@babel/core,7.1.6,finance-portal-lib
,7.10.2,central-services-health
,,oracle-shared-library
,7.10.3,finance-portal-lib
,7.12.13,settlement-management
,7.12.3,ml-testing-toolkit-ui
,7.14.6,alias-oracle
,7.14.8,platform-shared-tools
,7.15.5,mojaloop-business-docs
,7.16.0,reporting-hub-bop-api-svc
,7.16.5,reporting
,7.17.9,mfi-account-oracle
,7.18.0,object-store-lib
,7.18.2,ml-testing-toolkit-client-lib
,7.18.5,pisp-project
,7.18.6,central-services-error-handling
,7.18.9,als-oracle-pathfinder
,7.19.0,api-snippets
,7.19.1,platform-shared-lib
,7.22.10,ml-number
,7.22.11,central-services-metrics
,7.22.17,transaction-requests-service
,7.22.20,ml-testing-toolkit-shared-lib
,7.22.5,security-rbac-tests
,7.22.9,platform-shared-tools
,7.23.0,documentation
,,mojaloop-simulator
,7.23.2,auditing-bc
,,merchant-registry-svc
,7.23.7,role-assignment-service
,7.23.9,logging-bc
,,payment-token-adapter
,,security-role-perm-operator-svc
,7.24.0,beneficiary-management-system-svc
,,mifos-core-connector
,7.24.3,ml-testing-toolkit-ui
,7.24.4,sdk-standard-components
,7.24.5,reporting-bc
,,reporting-events-processor-svc
,7.24.6,account-lookup-bc
,,typescript-svc-template
,7.24.7,account-lookup-service
,,accounts-and-balances-bc
,,beneficiary-registration-portal-frontend
,,bulk-api-adapter
,,central-ledger
,,central-services-shared
,,database-lib
,,event-sdk
,,event-sidecar
,,ml-testing-toolkit
,,participants-bc
,,platform-configuration-bc
,,quoting-bc
,,thirdparty-api-svc
,7.24.9,central-services-logger
,,interop-apis-bc
,,settlements-bc
,,transfers-bc
,7.25.2,typescript-bc-template
,7.8.3,platform-shared-tools
@babel/eslint-parser,7.23.10,beneficiary-management-system-svc
,7.24.7,beneficiary-registration-portal-frontend
@babel/generator,7.1.6,finance-portal-lib
,7.10.2,oracle-shared-library
,7.10.3,finance-portal-lib
,7.12.15,settlement-management
,7.14.8,platform-shared-tools
,7.15.4,mojaloop-business-docs
,7.16.0,reporting-hub-bop-api-svc
,7.16.5,reporting
,7.17.9,mfi-account-oracle
,7.18.2,pisp-project
,7.19.0,platform-shared-lib
,7.22.15,ml-testing-toolkit-shared-lib
,7.22.5,security-rbac-tests
,7.23.0,alias-oracle
,,api-snippets
,,auditing-bc
,,merchant-registry-svc
,,mojaloop-simulator
,,transaction-requests-service
,7.23.3,documentation
,7.23.6,als-oracle-pathfinder
,,beneficiary-management-system-svc
,,logging-bc
,,mifos-core-connector
,,ml-testing-toolkit-client-lib
,,payment-token-adapter
,,role-assignment-service
,,security-role-perm-operator-svc
,7.24.1,central-services-error-handling
,,central-services-health
,,ml-testing-toolkit-ui
,7.24.10,central-services-logger
,,interop-apis-bc
,,settlements-bc
,,transfers-bc
,7.24.4,central-services-metrics
,,ml-number
,,object-store-lib
,,sdk-standard-components
,7.24.5,reporting-bc
,,reporting-events-processor-svc
,7.24.6,account-lookup-bc
,,platform-shared-tools
,,typescript-svc-template
,7.24.7,account-lookup-service
,,accounts-and-balances-bc
,,beneficiary-registration-portal-frontend
,,bulk-api-adapter
,,central-ledger
,,central-services-shared
,,database-lib
,,event-sdk
,,event-sidecar
,,ml-testing-toolkit
,,participants-bc
,,platform-configuration-bc
,,quoting-bc
,,thirdparty-api-svc
,7.25.0,typescript-bc-template
@babel/helper-annotate-as-pure,7.14.5,platform-shared-tools
,7.15.4,mojaloop-business-docs
,7.22.5,beneficiary-management-system-svc
,,documentation
,,ml-testing-toolkit-ui
,,platform-shared-tools
,7.24.7,beneficiary-registration-portal-frontend
@babel/helper-builder-binary-assignment-operator-visitor,7.15.4,mojaloop-business-docs
,7.22.15,beneficiary-management-system-svc
,,documentation
,,ml-testing-toolkit-ui
,7.22.5,platform-shared-tools
,7.24.7,beneficiary-registration-portal-frontend
@babel/helper-compilation-targets,7.14.5,alias-oracle
,7.15.4,mojaloop-business-docs
,7.16.0,reporting-hub-bop-api-svc
,7.16.3,reporting
,7.17.10,object-store-lib
,7.17.7,mfi-account-oracle
,7.18.2,ml-testing-toolkit-client-lib
,,pisp-project
,7.18.6,central-services-error-handling
,7.18.9,als-oracle-pathfinder
,7.19.0,api-snippets
,7.19.1,platform-shared-lib
,7.22.10,central-services-metrics
,,ml-number
,7.22.15,auditing-bc
,,documentation
,,merchant-registry-svc
,,ml-testing-toolkit-shared-lib
,,mojaloop-simulator
,,transaction-requests-service
,7.22.5,security-rbac-tests
,7.22.9,platform-shared-tools
,7.23.6,beneficiary-management-system-svc
,,logging-bc
,,mifos-core-connector
,,ml-testing-toolkit-ui
,,payment-token-adapter
,,reporting-bc
,,reporting-events-processor-svc
,,role-assignment-service
,,sdk-standard-components
,,security-role-perm-operator-svc
,7.24.6,account-lookup-bc
,,typescript-svc-template
,7.24.7,account-lookup-service
,,accounts-and-balances-bc
,,beneficiary-registration-portal-frontend
,,bulk-api-adapter
,,central-ledger
,,central-services-shared
,,database-lib
,,event-sdk
,,event-sidecar
,,ml-testing-toolkit
,,participants-bc
,,platform-configuration-bc
,,quoting-bc
,,thirdparty-api-svc
,7.24.8,central-services-logger
,,interop-apis-bc
,,settlements-bc
,,transfers-bc
,7.25.2,typescript-bc-template
@babel/helper-create-class-features-plugin,7.15.4,mojaloop-business-docs
,7.22.15,documentation
,7.22.9,platform-shared-tools
,7.24.0,beneficiary-management-system-svc
,7.24.1,ml-testing-toolkit-ui
,7.24.7,beneficiary-registration-portal-frontend
@babel/helper-create-regexp-features-plugin,7.14.5,mojaloop-business-docs
,7.22.15,beneficiary-management-system-svc
,,documentation
,,ml-testing-toolkit-ui
,7.22.9,platform-shared-tools
,7.24.7,beneficiary-registration-portal-frontend
@babel/helper-define-polyfill-provider,0.2.3,mojaloop-business-docs
,0.2.4,platform-shared-tools
,0.4.2,documentation
,0.4.4,beneficiary-registration-portal-frontend
,0.5.0,beneficiary-management-system-svc
,,beneficiary-registration-portal-frontend
,0.6.1,ml-testing-toolkit-ui
,0.6.2,beneficiary-registration-portal-frontend
@babel/helper-environment-visitor,7.16.5,reporting
,7.16.7,mfi-account-oracle
,7.18.2,pisp-project
,7.18.9,platform-shared-lib
,7.22.20,alias-oracle
,,als-oracle-pathfinder
,,api-snippets
,,auditing-bc
,,beneficiary-management-system-svc
,,central-services-error-handling
,,central-services-health
,,central-services-metrics
,,documentation
,,logging-bc
,,merchant-registry-svc
,,mifos-core-connector
,,ml-number
,,ml-testing-toolkit-client-lib
,,ml-testing-toolkit-shared-lib
,,ml-testing-toolkit-ui
,,mojaloop-simulator
,,object-store-lib
,,payment-token-adapter
,,reporting-bc
,,reporting-events-processor-svc
,,role-assignment-service
,,sdk-standard-components
,,security-role-perm-operator-svc
,,transaction-requests-service
,7.22.5,security-rbac-tests
,7.24.6,account-lookup-bc
,,platform-shared-tools
,,typescript-svc-template
,7.24.7,account-lookup-service
,,accounts-and-balances-bc
,,beneficiary-registration-portal-frontend
,,bulk-api-adapter
,,central-ledger
,,central-services-logger
,,central-services-shared
,,database-lib
,,event-sdk
,,event-sidecar
,,interop-apis-bc
,,ml-testing-toolkit
